,GMIS.Region,GMIS.Division,Position,Total.Filled,Total.Unfilled,Total.Authorized,Filling.Up.Rate
2442,Region II - Cagayan Valley,Division of Cagayan,Disbursing Officer II,2,0,2,100
2443,Region II - Cagayan Valley,Division of Cagayan,Education Program Specialist II,7,1,8,87.5
2444,Region II - Cagayan Valley,Division of Cagayan,Education Program Supervisor,11,0,11,100
2445,Region II - Cagayan Valley,Division of Cagayan,Engineer III,1,0,1,100
2446,Region II - Cagayan Valley,Division of Cagayan,Farm Worker I,7,11,18,38.89
2447,Region II - Cagayan Valley,Division of Cagayan,Guidance Counselor I,4,5,9,44.44
2448,Region II - Cagayan Valley,Division of Cagayan,Guidance Counselor II,6,39,45,13.33
2449,Region II - Cagayan Valley,Division of Cagayan,Guidance Counselor III,15,5,20,75
2450,Region II - Cagayan Valley,Division of Cagayan,Head Teacher I,68,8,76,89.47
2451,Region II - Cagayan Valley,Division of Cagayan,Head Teacher II,1,1,2,50
2452,Region II - Cagayan Valley,Division of Cagayan,Head Teacher III,203,18,221,91.86
2453,Region II - Cagayan Valley,Division of Cagayan,Head Teacher V,12,1,13,92.31
2454,Region II - Cagayan Valley,Division of Cagayan,Head Teacher VI,5,1,6,83.33
2455,Region II - Cagayan Valley,Division of Cagayan,Heavy Equipment Operator I,1,0,1,100
2456,Region II - Cagayan Valley,Division of Cagayan,Information Technology Officer I,1,0,1,100
2457,Region II - Cagayan Valley,Division of Cagayan,Legal Assistant I,1,0,1,100
2458,Region II - Cagayan Valley,Division of Cagayan,Librarian I,1,2,3,33.33
2459,Region II - Cagayan Valley,Division of Cagayan,Librarian II,1,0,1,100
2460,Region II - Cagayan Valley,Division of Cagayan,Light Equipment Operator,4,0,4,100
2461,Region II - Cagayan Valley,Division of Cagayan,Master Teacher I,587,12,599,98
2462,Region II - Cagayan Valley,Division of Cagayan,Master Teacher II,288,8,296,97.3
2463,Region II - Cagayan Valley,Division of Cagayan,Master Teacher III,22,1,23,95.65
2464,Region II - Cagayan Valley,Division of Cagayan,Medical Officer III,1,0,1,100
2465,Region II - Cagayan Valley,Division of Cagayan,Nurse II,51,1,52,98.08
2466,Region II - Cagayan Valley,Division of Cagayan,Planning Officer III,1,0,1,100
2467,Region II - Cagayan Valley,Division of Cagayan,Project Development Officer I,29,0,29,100
2468,Region II - Cagayan Valley,Division of Cagayan,Project Development Officer II,2,0,2,100
2469,Region II - Cagayan Valley,Division of Cagayan,Public Schools District Supervisor,33,0,33,100
2470,Region II - Cagayan Valley,Division of Cagayan,Registrar I,13,0,13,100
2471,Region II - Cagayan Valley,Division of Cagayan,School Farming Coordinator II,1,0,1,100
2472,Region II - Cagayan Valley,Division of Cagayan,School Librarian I,2,0,2,100
2473,Region II - Cagayan Valley,Division of Cagayan,School Librarian II,2,0,2,100
2474,Region II - Cagayan Valley,Division of Cagayan,School Librarian III,13,0,13,100
2475,Region II - Cagayan Valley,Division of Cagayan,School Principal I,155,4,159,97.48
2476,Region II - Cagayan Valley,Division of Cagayan,School Principal II,134,8,142,94.37
2477,Region II - Cagayan Valley,Division of Cagayan,School Principal III,60,3,63,95.24
2478,Region II - Cagayan Valley,Division of Cagayan,School Principal IV,35,0,35,100
2479,Region II - Cagayan Valley,Division of Cagayan,Schools Division Superintendent,1,0,1,100
2480,Region II - Cagayan Valley,Division of Cagayan,Security Guard I,57,1,58,98.28
2481,Region II - Cagayan Valley,Division of Cagayan,Senior Bookkeeper,4,0,4,100
2482,Region II - Cagayan Valley,Division of Cagayan,Senior Education Program Specialist,4,0,4,100
2483,Region II - Cagayan Valley,Division of Cagayan,Special Education Teacher I,22,5,27,81.48
2484,Region II - Cagayan Valley,Division of Cagayan,Special Science Teacher I,39,0,39,100
2485,Region II - Cagayan Valley,Division of Cagayan,Teacher I,1810,80,1890,95.77
2486,Region II - Cagayan Valley,Division of Cagayan,Teacher II,812,16,828,98.07
2487,Region II - Cagayan Valley,Division of Cagayan,Teacher III,7554,34,7588,99.55
2488,Region II - Cagayan Valley,Division of Cagayan,Watchman I,12,1,13,92.31
2489,Region II - Cagayan Valley,Division of Cauayan City,Accountant III,1,0,1,100
2490,Region II - Cagayan Valley,Division of Cauayan City,Administrative Aide I,4,0,4,100
2491,Region II - Cagayan Valley,Division of Cauayan City,Administrative Aide IV,2,2,4,50
2492,Region II - Cagayan Valley,Division of Cauayan City,Administrative Aide VI,5,0,5,100
2493,Region II - Cagayan Valley,Division of Cauayan City,Administrative Assistant I,1,0,1,100
2494,Region II - Cagayan Valley,Division of Cauayan City,Administrative Assistant II,22,5,27,81.48
2495,Region II - Cagayan Valley,Division of Cauayan City,Administrative Assistant III,15,11,26,57.69
2496,Region II - Cagayan Valley,Division of Cauayan City,Administrative Officer II,56,8,64,87.5
2497,Region II - Cagayan Valley,Division of Cauayan City,Administrative Officer IV,4,1,5,80
2498,Region II - Cagayan Valley,Division of Cauayan City,Administrative Officer V,2,0,2,100
2499,Region II - Cagayan Valley,Division of Cauayan City,Assistant School Principal II,3,0,3,100
2500,Region II - Cagayan Valley,Division of Cauayan City,Assistant Schools Division Superintendent,1,0,1,100
2501,Region II - Cagayan Valley,Division of Cauayan City,Chief Education Supervisor,2,0,2,100
2502,Region II - Cagayan Valley,Division of Cauayan City,Dentist II,1,0,1,100
2503,Region II - Cagayan Valley,Division of Cauayan City,Education Program Specialist II,2,1,3,66.67
2504,Region II - Cagayan Valley,Division of Cauayan City,Education Program Supervisor,11,0,11,100
2505,Region II - Cagayan Valley,Division of Cauayan City,Guidance Counselor I,1,1,2,50
2506,Region II - Cagayan Valley,Division of Cauayan City,Guidance Counselor III,1,0,1,100
2507,Region II - Cagayan Valley,Division of Cauayan City,Head Teacher I,8,0,8,100
2508,Region II - Cagayan Valley,Division of Cauayan City,Head Teacher III,23,0,23,100
2509,Region II - Cagayan Valley,Division of Cauayan City,Head Teacher VI,1,0,1,100
2510,Region II - Cagayan Valley,Division of Cauayan City,Information Technology Officer I,1,0,1,100
2511,Region II - Cagayan Valley,Division of Cauayan City,Librarian II,1,0,1,100
2512,Region II - Cagayan Valley,Division of Cauayan City,Master Teacher I,62,3,65,95.38
2513,Region II - Cagayan Valley,Division of Cauayan City,Master Teacher II,34,0,34,100
2514,Region II - Cagayan Valley,Division of Cauayan City,Master Teacher III,3,0,3,100
2515,Region II - Cagayan Valley,Division of Cauayan City,Medical Officer III,1,0,1,100
2516,Region II - Cagayan Valley,Division of Cauayan City,Nurse II,2,0,2,100
2517,Region II - Cagayan Valley,Division of Cauayan City,Planning Officer III,1,0,1,100
2518,Region II - Cagayan Valley,Division of Cauayan City,Project Development Officer I,6,1,7,85.71
2519,Region II - Cagayan Valley,Division of Cauayan City,Project Development Officer II,2,0,2,100
2520,Region II - Cagayan Valley,Division of Cauayan City,Registrar I,1,0,1,100
2521,Region II - Cagayan Valley,Division of Cauayan City,School Principal I,10,0,10,100
2522,Region II - Cagayan Valley,Division of Cauayan City,School Principal II,12,0,12,100
2523,Region II - Cagayan Valley,Division of Cauayan City,School Principal III,6,0,6,100
2524,Region II - Cagayan Valley,Division of Cauayan City,School Principal IV,7,2,9,77.78
2525,Region II - Cagayan Valley,Division of Cauayan City,Schools Division Superintendent,1,0,1,100
2526,Region II - Cagayan Valley,Division of Cauayan City,Senior Education Program Specialist,2,0,2,100
2527,Region II - Cagayan Valley,Division of Cauayan City,Special Education Teacher I,11,0,11,100
2528,Region II - Cagayan Valley,Division of Cauayan City,Special Education Teacher III,1,0,1,100
2529,Region II - Cagayan Valley,Division of Cauayan City,Special Science Teacher I,5,0,5,100
2530,Region II - Cagayan Valley,Division of Cauayan City,Teacher I,165,7,172,95.93
2531,Region II - Cagayan Valley,Division of Cauayan City,Teacher II,42,2,44,95.45
2532,Region II - Cagayan Valley,Division of Cauayan City,Teacher III,1046,10,1056,99.05
2533,Region II - Cagayan Valley,Division of Ilagan City,Accountant I,1,0,1,100
2534,Region II - Cagayan Valley,Division of Ilagan City,Accountant III,1,0,1,100
2535,Region II - Cagayan Valley,Division of Ilagan City,Administrative Aide I,10,0,10,100
2536,Region II - Cagayan Valley,Division of Ilagan City,Administrative Aide III,6,0,6,100
2537,Region II - Cagayan Valley,Division of Ilagan City,Administrative Aide IV,3,2,5,60
2538,Region II - Cagayan Valley,Division of Ilagan City,Administrative Aide VI,2,3,5,40
2539,Region II - Cagayan Valley,Division of Ilagan City,Administrative Assistant II,27,5,32,84.38
2540,Region II - Cagayan Valley,Division of Ilagan City,Administrative Assistant III,29,3,32,90.62
2541,Region II - Cagayan Valley,Division of Ilagan City,Administrative Officer I,2,0,2,100
2542,Region II - Cagayan Valley,Division of Ilagan City,Administrative Officer II,65,11,76,85.53
2543,Region II - Cagayan Valley,Division of Ilagan City,Administrative Officer IV,5,1,6,83.33
2544,Region II - Cagayan Valley,Division of Ilagan City,Administrative Officer V,2,0,2,100
2545,Region II - Cagayan Valley,Division of Ilagan City,Assistant School Principal II,6,0,6,100
2546,Region II - Cagayan Valley,Division of Ilagan City,Chief Education Supervisor,2,0,2,100
2547,Region II - Cagayan Valley,Division of Ilagan City,Dentist II,1,0,1,100
2548,Region II - Cagayan Valley,Division of Ilagan City,Education Program Specialist II,3,0,3,100
2549,Region II - Cagayan Valley,Division of Ilagan City,Education Program Supervisor,11,0,11,100
2550,Region II - Cagayan Valley,Division of Ilagan City,Guidance Coordinator III,1,0,1,100
2551,Region II - Cagayan Valley,Division of Ilagan City,Guidance Counselor III,2,0,2,100
2552,Region II - Cagayan Valley,Division of Ilagan City,Head Teacher I,24,0,24,100
2553,Region II - Cagayan Valley,Division of Ilagan City,Head Teacher II,1,0,1,100
2554,Region II - Cagayan Valley,Division of Ilagan City,Head Teacher III,29,0,29,100
2555,Region II - Cagayan Valley,Division of Ilagan City,Head Teacher V,9,0,9,100
2556,Region II - Cagayan Valley,Division of Ilagan City,Head Teacher VI,1,0,1,100
2557,Region II - Cagayan Valley,Division of Ilagan City,Information Technology Officer I,1,0,1,100
2558,Region II - Cagayan Valley,Division of Ilagan City,Librarian I,1,0,1,100
2559,Region II - Cagayan Valley,Division of Ilagan City,Librarian II,1,0,1,100
2560,Region II - Cagayan Valley,Division of Ilagan City,Master Teacher I,85,1,86,98.84
2561,Region II - Cagayan Valley,Division of Ilagan City,Master Teacher II,39,0,39,100
2562,Region II - Cagayan Valley,Division of Ilagan City,Medical Officer III,1,0,1,100
2563,Region II - Cagayan Valley,Division of Ilagan City,Nurse II,3,0,3,100
2564,Region II - Cagayan Valley,Division of Ilagan City,Planning Officer III,1,0,1,100
2565,Region II - Cagayan Valley,Division of Ilagan City,Project Development Officer I,7,0,7,100
2566,Region II - Cagayan Valley,Division of Ilagan City,Project Development Officer II,2,0,2,100
2567,Region II - Cagayan Valley,Division of Ilagan City,Registrar I,2,0,2,100
2568,Region II - Cagayan Valley,Division of Ilagan City,School Librarian I,1,0,1,100
2569,Region II - Cagayan Valley,Division of Ilagan City,School Principal I,12,0,12,100
2570,Region II - Cagayan Valley,Division of Ilagan City,School Principal II,14,0,14,100
2571,Region II - Cagayan Valley,Division of Ilagan City,School Principal III,6,0,6,100
2572,Region II - Cagayan Valley,Division of Ilagan City,School Principal IV,6,0,6,100
2573,Region II - Cagayan Valley,Division of Ilagan City,Schools Division Superintendent,1,0,1,100
2574,Region II - Cagayan Valley,Division of Ilagan City,Security Guard I,5,0,5,100
2575,Region II - Cagayan Valley,Division of Ilagan City,Security Guard II,1,0,1,100
2576,Region II - Cagayan Valley,Division of Ilagan City,Senior Education Program Specialist,2,0,2,100
2577,Region II - Cagayan Valley,Division of Ilagan City,Special Education Teacher I,11,3,14,78.57
2578,Region II - Cagayan Valley,Division of Ilagan City,Special Education Teacher III,1,0,1,100
2579,Region II - Cagayan Valley,Division of Ilagan City,Special Science Teacher I,4,1,5,80
2580,Region II - Cagayan Valley,Division of Ilagan City,Teacher I,227,5,232,97.84
2581,Region II - Cagayan Valley,Division of Ilagan City,Teacher II,93,22,115,80.87
2582,Region II - Cagayan Valley,Division of Ilagan City,Teacher III,1065,15,1080,98.61
2583,Region II - Cagayan Valley,Division of Ilagan City,Watchman I,1,0,1,100
2584,Region II - Cagayan Valley,Division of Isabela,Accountant I,6,1,7,85.71
2585,Region II - Cagayan Valley,Division of Isabela,Accountant III,1,0,1,100
2586,Region II - Cagayan Valley,Division of Isabela,Administrative Aide I,72,5,77,93.51
2587,Region II - Cagayan Valley,Division of Isabela,Administrative Aide III,11,7,18,61.11
2588,Region II - Cagayan Valley,Division of Isabela,Administrative Aide IV,13,6,19,68.42
2589,Region II - Cagayan Valley,Division of Isabela,Administrative Aide VI,12,1,13,92.31
2590,Region II - Cagayan Valley,Division of Isabela,Administrative Assistant I,1,0,1,100
2591,Region II - Cagayan Valley,Division of Isabela,Administrative Assistant II,242,14,256,94.53
2592,Region II - Cagayan Valley,Division of Isabela,Administrative Assistant III,175,3,178,98.31
2593,Region II - Cagayan Valley,Division of Isabela,Administrative Officer I,22,0,22,100
2594,Region II - Cagayan Valley,Division of Isabela,Administrative Officer II,475,188,663,71.64
2595,Region II - Cagayan Valley,Division of Isabela,Administrative Officer IV,12,1,13,92.31
2596,Region II - Cagayan Valley,Division of Isabela,Administrative Officer V,2,0,2,100
2597,Region II - Cagayan Valley,Division of Isabela,Assistant School Principal II,6,0,6,100
2598,Region II - Cagayan Valley,Division of Isabela,Assistant Schools Division Superintendent,2,0,2,100
2599,Region II - Cagayan Valley,Division of Isabela,Attorney III,1,0,1,100
2600,Region II - Cagayan Valley,Division of Isabela,Chief Education Supervisor,2,0,2,100
2601,Region II - Cagayan Valley,Division of Isabela,Dental Aide,8,1,9,88.89
2602,Region II - Cagayan Valley,Division of Isabela,Dentist II,7,4,11,63.64
2603,Region II - Cagayan Valley,Division of Isabela,Education Program Specialist II,8,0,8,100
2604,Region II - Cagayan Valley,Division of Isabela,Education Program Supervisor,10,1,11,90.91
2605,Region II - Cagayan Valley,Division of Isabela,Engineer III,1,0,1,100
2606,Region II - Cagayan Valley,Division of Isabela,Farm Worker I,1,8,9,11.11
2607,Region II - Cagayan Valley,Division of Isabela,Guidance Counselor I,6,12,18,33.33
2608,Region II - Cagayan Valley,Division of Isabela,Guidance Counselor II,1,40,41,2.44
2609,Region II - Cagayan Valley,Division of Isabela,Guidance Counselor III,12,6,18,66.67
2610,Region II - Cagayan Valley,Division of Isabela,Head Teacher I,89,6,95,93.68
2611,Region II - Cagayan Valley,Division of Isabela,Head Teacher II,5,0,5,100
2612,Region II - Cagayan Valley,Division of Isabela,Head Teacher III,237,10,247,95.95
2613,Region II - Cagayan Valley,Division of Isabela,Head Teacher IV,1,0,1,100
2614,Region II - Cagayan Valley,Division of Isabela,Head Teacher V,9,0,9,100
2615,Region II - Cagayan Valley,Division of Isabela,Information Technology Officer I,1,0,1,100
2616,Region II - Cagayan Valley,Division of Isabela,Legal Assistant I,1,0,1,100
2617,Region II - Cagayan Valley,Division of Isabela,Librarian II,1,0,1,100
2618,Region II - Cagayan Valley,Division of Isabela,Light Equipment Operator,2,1,3,66.67
2619,Region II - Cagayan Valley,Division of Isabela,Marine Engineman I,1,0,1,100
2620,Region II - Cagayan Valley,Division of Isabela,Master Teacher I,639,20,659,96.97
2621,Region II - Cagayan Valley,Division of Isabela,Master Teacher II,309,6,315,98.1
2622,Region II - Cagayan Valley,Division of Isabela,Master Teacher III,2,0,2,100
2623,Region II - Cagayan Valley,Division of Isabela,Medical Officer III,1,0,1,100
2624,Region II - Cagayan Valley,Division of Isabela,Nurse I,1,5,6,16.67
2625,Region II - Cagayan Valley,Division of Isabela,Nurse II,56,1,57,98.25
2626,Region II - Cagayan Valley,Division of Isabela,Planning Officer III,1,0,1,100
2627,Region II - Cagayan Valley,Division of Isabela,Project Development Officer I,31,0,31,100
2628,Region II - Cagayan Valley,Division of Isabela,Project Development Officer II,2,0,2,100
2629,Region II - Cagayan Valley,Division of Isabela,Public Schools District Supervisor,32,1,33,96.97
2630,Region II - Cagayan Valley,Division of Isabela,Registrar I,14,0,14,100
2631,Region II - Cagayan Valley,Division of Isabela,School Librarian I,6,1,7,85.71
2632,Region II - Cagayan Valley,Division of Isabela,School Librarian II,1,0,1,100
2633,Region II - Cagayan Valley,Division of Isabela,School Librarian III,5,0,5,100
2634,Region II - Cagayan Valley,Division of Isabela,School Principal I,159,8,167,95.21
2635,Region II - Cagayan Valley,Division of Isabela,School Principal II,156,1,157,99.36
2636,Region II - Cagayan Valley,Division of Isabela,School Principal III,37,2,39,94.87
2637,Region II - Cagayan Valley,Division of Isabela,School Principal IV,27,1,28,96.43
2638,Region II - Cagayan Valley,Division of Isabela,Schools Division Superintendent,1,0,1,100
2639,Region II - Cagayan Valley,Division of Isabela,Security Guard I,32,4,36,88.89
2640,Region II - Cagayan Valley,Division of Isabela,Senior Education Program Specialist,4,0,4,100
2641,Region II - Cagayan Valley,Division of Isabela,Special Education Teacher I,23,2,25,92
2642,Region II - Cagayan Valley,Division of Isabela,Special Science Teacher I,47,3,50,94
2643,Region II - Cagayan Valley,Division of Isabela,Teacher I,1657,282,1939,85.46
2644,Region II - Cagayan Valley,Division of Isabela,Teacher II,702,23,725,96.83
2645,Region II - Cagayan Valley,Division of Isabela,Teacher III,8629,91,8720,98.96
2646,Region II - Cagayan Valley,Division of Isabela,Telegram Carrier,1,0,1,100
2647,Region II - Cagayan Valley,Division of Isabela,Watchman I,8,0,8,100
2648,Region II - Cagayan Valley,Division of Nueva Vizcaya,Accountant I,4,2,6,66.67
2649,Region II - Cagayan Valley,Division of Nueva Vizcaya,Accountant III,1,0,1,100
2650,Region II - Cagayan Valley,Division of Nueva Vizcaya,Administrative Aide I,36,2,38,94.74
2651,Region II - Cagayan Valley,Division of Nueva Vizcaya,Administrative Aide II,1,3,4,25
2652,Region II - Cagayan Valley,Division of Nueva Vizcaya,Administrative Aide III,4,9,13,30.77
2653,Region II - Cagayan Valley,Division of Nueva Vizcaya,Administrative Aide IV,4,3,7,57.14
2654,Region II - Cagayan Valley,Division of Nueva Vizcaya,Administrative Aide VI,11,1,12,91.67
2655,Region II - Cagayan Valley,Division of Nueva Vizcaya,Administrative Assistant I,1,0,1,100
2656,Region II - Cagayan Valley,Division of Nueva Vizcaya,Administrative Assistant II,106,2,108,98.15
2657,Region II - Cagayan Valley,Division of Nueva Vizcaya,Administrative Assistant III,72,4,76,94.74
2658,Region II - Cagayan Valley,Division of Nueva Vizcaya,Administrative Officer I,15,0,15,100
2659,Region II - Cagayan Valley,Division of Nueva Vizcaya,Administrative Officer II,238,54,292,81.51
2660,Region II - Cagayan Valley,Division of Nueva Vizcaya,Administrative Officer IV,7,1,8,87.5
2661,Region II - Cagayan Valley,Division of Nueva Vizcaya,Administrative Officer V,1,1,2,50
2662,Region II - Cagayan Valley,Division of Nueva Vizcaya,Assistant School Principal II,6,0,6,100
2663,Region II - Cagayan Valley,Division of Nueva Vizcaya,Assistant Schools Division Superintendent,1,0,1,100
2664,Region II - Cagayan Valley,Division of Nueva Vizcaya,Attorney III,1,0,1,100
2665,Region II - Cagayan Valley,Division of Nueva Vizcaya,Chief Education Supervisor,2,0,2,100
2666,Region II - Cagayan Valley,Division of Nueva Vizcaya,Dental Aide,4,0,4,100
2667,Region II - Cagayan Valley,Division of Nueva Vizcaya,Dentist II,2,0,2,100
2668,Region II - Cagayan Valley,Division of Nueva Vizcaya,Disbursing Officer II,1,0,1,100
2669,Region II - Cagayan Valley,Division of Nueva Vizcaya,Education Program Specialist II,4,1,5,80
2670,Region II - Cagayan Valley,Division of Nueva Vizcaya,Education Program Supervisor,11,0,11,100
2671,Region II - Cagayan Valley,Division of Nueva Vizcaya,Engineer III,1,0,1,100
2672,Region II - Cagayan Valley,Division of Nueva Vizcaya,Guidance Coordinator III,1,0,1,100
2673,Region II - Cagayan Valley,Division of Nueva Vizcaya,Guidance Counselor I,2,3,5,40
2674,Region II - Cagayan Valley,Division of Nueva Vizcaya,Guidance Counselor III,6,5,11,54.55
2675,Region II - Cagayan Valley,Division of Nueva Vizcaya,Head Teacher I,30,4,34,88.24
2676,Region II - Cagayan Valley,Division of Nueva Vizcaya,Head Teacher II,5,0,5,100
2677,Region II - Cagayan Valley,Division of Nueva Vizcaya,Head Teacher III,108,4,112,96.43
2678,Region II - Cagayan Valley,Division of Nueva Vizcaya,Head Teacher V,13,0,13,100
2679,Region II - Cagayan Valley,Division of Nueva Vizcaya,Information Technology Officer I,1,0,1,100
2680,Region II - Cagayan Valley,Division of Nueva Vizcaya,Librarian I,3,0,3,100
2681,Region II - Cagayan Valley,Division of Nueva Vizcaya,Librarian II,1,0,1,100
2682,Region II - Cagayan Valley,Division of Nueva Vizcaya,Master Teacher I,205,7,212,96.7
2683,Region II - Cagayan Valley,Division of Nueva Vizcaya,Master Teacher II,109,2,111,98.2
2684,Region II - Cagayan Valley,Division of Nueva Vizcaya,Medical Officer III,1,0,1,100
2685,Region II - Cagayan Valley,Division of Nueva Vizcaya,Nurse II,24,0,24,100
2686,Region II - Cagayan Valley,Division of Nueva Vizcaya,Planning Officer III,1,0,1,100
2687,Region II - Cagayan Valley,Division of Nueva Vizcaya,Project Development Officer I,11,0,11,100
2688,Region II - Cagayan Valley,Division of Nueva Vizcaya,Project Development Officer II,2,0,2,100
2689,Region II - Cagayan Valley,Division of Nueva Vizcaya,Public Schools District Supervisor,10,0,10,100
2690,Region II - Cagayan Valley,Division of Nueva Vizcaya,Registrar I,4,0,4,100
2691,Region II - Cagayan Valley,Division of Nueva Vizcaya,School Librarian I,4,0,4,100
2692,Region II - Cagayan Valley,Division of Nueva Vizcaya,School Librarian II,2,0,2,100
2693,Region II - Cagayan Valley,Division of Nueva Vizcaya,School Librarian III,3,0,3,100
2694,Region II - Cagayan Valley,Division of Nueva Vizcaya,School Principal I,60,2,62,96.77
2695,Region II - Cagayan Valley,Division of Nueva Vizcaya,School Principal II,44,0,44,100
2696,Region II - Cagayan Valley,Division of Nueva Vizcaya,School Principal III,16,0,16,100
2697,Region II - Cagayan Valley,Division of Nueva Vizcaya,School Principal IV,19,0,19,100
2698,Region II - Cagayan Valley,Division of Nueva Vizcaya,Schools Division Superintendent,1,0,1,100
2699,Region II - Cagayan Valley,Division of Nueva Vizcaya,Security Guard I,39,1,40,97.5
2700,Region II - Cagayan Valley,Division of Nueva Vizcaya,Senior Bookkeeper,1,0,1,100
2701,Region II - Cagayan Valley,Division of Nueva Vizcaya,Senior Education Program Specialist,3,1,4,75
2702,Region II - Cagayan Valley,Division of Nueva Vizcaya,Special Education Teacher I,32,7,39,82.05
2703,Region II - Cagayan Valley,Division of Nueva Vizcaya,Special Education Teacher II,11,0,11,100
2704,Region II - Cagayan Valley,Division of Nueva Vizcaya,Special Education Teacher III,5,2,7,71.43
2705,Region II - Cagayan Valley,Division of Nueva Vizcaya,Special Science Teacher I,8,4,12,66.67
2706,Region II - Cagayan Valley,Division of Nueva Vizcaya,Teacher I,841,74,915,91.91
2707,Region II - Cagayan Valley,Division of Nueva Vizcaya,Teacher II,414,10,424,97.64
2708,Region II - Cagayan Valley,Division of Nueva Vizcaya,Teacher III,3154,21,3175,99.34
2709,Region II - Cagayan Valley,Division of Quirino,Accountant I,4,0,4,100
2710,Region II - Cagayan Valley,Division of Quirino,Accountant III,1,0,1,100
2711,Region II - Cagayan Valley,Division of Quirino,Administrative Aide I,13,0,13,100
2712,Region II - Cagayan Valley,Division of Quirino,Administrative Aide III,3,4,7,42.86
2713,Region II - Cagayan Valley,Division of Quirino,Administrative Aide IV,4,0,4,100
2714,Region II - Cagayan Valley,Division of Quirino,Administrative Aide VI,9,0,9,100
2715,Region II - Cagayan Valley,Division of Quirino,Administrative Assistant II,45,5,50,90
2716,Region II - Cagayan Valley,Division of Quirino,Administrative Assistant III,38,7,45,84.44
2717,Region II - Cagayan Valley,Division of Quirino,Administrative Officer I,4,0,4,100
2718,Region II - Cagayan Valley,Division of Quirino,Administrative Officer II,143,1,144,99.31
2719,Region II - Cagayan Valley,Division of Quirino,Administrative Officer IV,5,1,6,83.33
2720,Region II - Cagayan Valley,Division of Quirino,Administrative Officer V,2,0,2,100
2721,Region II - Cagayan Valley,Division of Quirino,Assistant School Principal II,3,0,3,100
2722,Region II - Cagayan Valley,Division of Quirino,Assistant Schools Division Superintendent,1,0,1,100
2723,Region II - Cagayan Valley,Division of Quirino,Attorney III,1,0,1,100
2724,Region II - Cagayan Valley,Division of Quirino,Chief Education Supervisor,2,0,2,100
2725,Region II - Cagayan Valley,Division of Quirino,Dentist II,2,0,2,100
2726,Region II - Cagayan Valley,Division of Quirino,Education Program Specialist II,5,0,5,100
2727,Region II - Cagayan Valley,Division of Quirino,Education Program Supervisor,11,0,11,100
2728,Region II - Cagayan Valley,Division of Quirino,Engineer III,1,0,1,100
2729,Region II - Cagayan Valley,Division of Quirino,Guidance Counselor I,3,2,5,60
2730,Region II - Cagayan Valley,Division of Quirino,Guidance Counselor II,1,7,8,12.5
2731,Region II - Cagayan Valley,Division of Quirino,Guidance Counselor III,4,1,5,80
2732,Region II - Cagayan Valley,Division of Quirino,Head Teacher I,35,0,35,100
2733,Region II - Cagayan Valley,Division of Quirino,Head Teacher II,1,1,2,50
2734,Region II - Cagayan Valley,Division of Quirino,Head Teacher III,33,0,33,100
2735,Region II - Cagayan Valley,Division of Quirino,Head Teacher IV,5,0,5,100
2736,Region II - Cagayan Valley,Division of Quirino,Information Technology Officer I,1,0,1,100
2737,Region II - Cagayan Valley,Division of Quirino,Librarian II,1,0,1,100
2738,Region II - Cagayan Valley,Division of Quirino,Master Teacher I,97,3,100,97
2739,Region II - Cagayan Valley,Division of Quirino,Master Teacher II,44,1,45,97.78
2740,Region II - Cagayan Valley,Division of Quirino,Master Teacher III,6,1,7,85.71
2741,Region II - Cagayan Valley,Division of Quirino,Medical Officer III,1,0,1,100
2742,Region II - Cagayan Valley,Division of Quirino,Nurse II,14,0,14,100
2743,Region II - Cagayan Valley,Division of Quirino,Project Development Officer I,5,0,5,100
2744,Region II - Cagayan Valley,Division of Quirino,Project Development Officer II,2,0,2,100
2745,Region II - Cagayan Valley,Division of Quirino,Public Schools District Supervisor,9,1,10,90
2746,Region II - Cagayan Valley,Division of Quirino,Registrar I,4,0,4,100
2747,Region II - Cagayan Valley,Division of Quirino,School Librarian I,3,0,3,100
2748,Region II - Cagayan Valley,Division of Quirino,School Librarian III,1,0,1,100
2749,Region II - Cagayan Valley,Division of Quirino,School Principal I,27,1,28,96.43
2750,Region II - Cagayan Valley,Division of Quirino,School Principal II,22,0,22,100
2751,Region II - Cagayan Valley,Division of Quirino,School Principal III,21,0,21,100
2752,Region II - Cagayan Valley,Division of Quirino,School Principal IV,9,0,9,100
2753,Region II - Cagayan Valley,Division of Quirino,Schools Division Superintendent,1,0,1,100
2754,Region II - Cagayan Valley,Division of Quirino,Security Guard I,15,2,17,88.24
2755,Region II - Cagayan Valley,Division of Quirino,Senior Education Program Specialist,4,0,4,100
2756,Region II - Cagayan Valley,Division of Quirino,Special Education Teacher I,18,0,18,100
2757,Region II - Cagayan Valley,Division of Quirino,Special Education Teacher II,1,0,1,100
2758,Region II - Cagayan Valley,Division of Quirino,Special Education Teacher III,6,0,6,100
2759,Region II - Cagayan Valley,Division of Quirino,Special Science Teacher I,8,0,8,100
2760,Region II - Cagayan Valley,Division of Quirino,Teacher I,370,69,439,84.28
2761,Region II - Cagayan Valley,Division of Quirino,Teacher II,145,4,149,97.32
2762,Region II - Cagayan Valley,Division of Quirino,Teacher III,1690,7,1697,99.59
2763,Region II - Cagayan Valley,Division of Santiago City,Accountant I,1,0,1,100
2764,Region II - Cagayan Valley,Division of Santiago City,Accountant III,1,0,1,100
2765,Region II - Cagayan Valley,Division of Santiago City,Administrative Aide I,6,0,6,100
